date,station,boarding,alighting,total,day_of_week,is_weekend,is_holiday,month,year,covid_dummy
2018-01-18,홍대입구,77787.0,81821.0,159608.0,3,0,0,1,2018,0
2018-01-18,잠실,96531.0,91632.0,188163.0,3,0,0,1,2018,0
2018-01-19,신도림,66776.0,66683.0,133459.0,4,0,0,1,2018,0
2018-01-19,홍대입구,84138.0,97476.0,181614.0,4,0,0,1,2018,0
2018-01-19,잠실,100251.0,94251.0,194502.0,4,0,0,1,2018,0
2018-01-19,강남,132511.0,136530.0,269041.0,4,0,0,1,2018,0
2018-01-20,신도림,59863.0,60326.0,120189.0,5,1,0,1,2018,0
2018-01-20,홍대입구,95697.0,110514.0,206211.0,5,1,0,1,2018,0
2018-01-20,강남,97764.0,102876.0,200640.0,5,1,0,1,2018,0
2018-01-20,잠실,90831.0,84820.0,175651.0,5,1,0,1,2018,0
2018-01-21,신도림,40047.0,40007.0,80054.0,6,1,0,1,2018,0
2018-01-21,홍대입구,74298.0,71397.0,145695.0,6,1,0,1,2018,0
2018-01-21,잠실,66500.0,61173.0,127673.0,6,1,0,1,2018,0
2018-01-21,강남,56352.0,54868.0,111220.0,6,1,0,1,2018,0
2018-01-22,강남,120786.0,118306.0,239092.0,0,0,0,1,2018,0
2018-01-22,신도림,61336.0,59632.0,120968.0,0,0,0,1,2018,0
2018-01-22,홍대입구,70714.0,72570.0,143284.0,0,0,0,1,2018,0
2018-01-22,잠실,89884.0,84924.0,174808.0,0,0,0,1,2018,0
2018-01-23,잠실,90177.0,85030.0,175207.0,1,0,0,1,2018,0
2018-01-23,강남,120455.0,118347.0,238802.0,1,0,0,1,2018,0
2018-01-23,신도림,60536.0,58942.0,119478.0,1,0,0,1,2018,0
2018-01-23,홍대입구,70032.0,72837.0,142869.0,1,0,0,1,2018,0
2018-01-24,강남,117879.0,115528.0,233407.0,2,0,0,1,2018,0
2018-01-24,홍대입구,67418.0,69992.0,137410.0,2,0,0,1,2018,0
2018-01-24,잠실,87934.0,83277.0,171211.0,2,0,0,1,2018,0
2018-01-24,신도림,58641.0,57418.0,116059.0,2,0,0,1,2018,0
2018-01-25,홍대입구,69345.0,72629.0,141974.0,3,0,0,1,2018,0
2018-01-25,신도림,60379.0,58995.0,119374.0,3,0,0,1,2018,0
2018-01-25,잠실,89626.0,84835.0,174461.0,3,0,0,1,2018,0
2018-01-25,강남,118124.0,116139.0,234263.0,3,0,0,1,2018,0
2018-01-26,홍대입구,74600.0,84223.0,158823.0,4,0,0,1,2018,0
2018-01-26,잠실,93995.0,88377.0,182372.0,4,0,0,1,2018,0
2018-01-26,신도림,61633.0,61332.0,122965.0,4,0,0,1,2018,0
2018-01-26,강남,122901.0,124864.0,247765.0,4,0,0,1,2018,0
2018-01-27,잠실,85401.0,79007.0,164408.0,5,1,0,1,2018,0
2018-01-27,강남,90296.0,94262.0,184558.0,5,1,0,1,2018,0
2018-01-27,홍대입구,84673.0,96204.0,180877.0,5,1,0,1,2018,0
2018-01-27,신도림,55676.0,55856.0,111532.0,5,1,0,1,2018,0
2018-01-28,잠실,62918.0,57897.0,120815.0,6,1,0,1,2018,0
2018-01-28,신도림,38867.0,38982.0,77849.0,6,1,0,1,2018,0
2018-01-28,홍대입구,70158.0,67286.0,137444.0,6,1,0,1,2018,0
2018-01-28,강남,54836.0,54083.0,108919.0,6,1,0,1,2018,0
2018-01-29,강남,114995.0,113903.0,228898.0,0,0,0,1,2018,0
2018-01-29,잠실,88303.0,84425.0,172728.0,0,0,0,1,2018,0
2018-01-29,홍대입구,71222.0,72976.0,144198.0,0,0,0,1,2018,0
2018-01-29,신도림,59648.0,58058.0,117706.0,0,0,0,1,2018,0
2018-01-30,잠실,93843.0,88506.0,182349.0,1,0,0,1,2018,0
2018-01-30,홍대입구,73382.0,76739.0,150121.0,1,0,0,1,2018,0
2018-01-30,강남,118692.0,114779.0,233471.0,1,0,0,1,2018,0
2018-01-30,신도림,63349.0,62497.0,125846.0,1,0,0,1,2018,0
2018-01-31,신도림,64068.0,62227.0,126295.0,2,0,0,1,2018,0
2018-01-31,홍대입구,76006.0,79770.0,155776.0,2,0,0,1,2018,0
2018-01-31,잠실,92705.0,88551.0,181256.0,2,0,0,1,2018,0
2018-01-31,강남,118418.0,117626.0,236044.0,2,0,0,1,2018,0
2018-02-01,잠실,92319.0,87072.0,179391.0,3,0,0,2,2018,0
2018-02-01,홍대입구,78096.0,82259.0,160355.0,3,0,0,2,2018,0
2018-02-01,강남,122868.0,122015.0,244883.0,3,0,0,2,2018,0
2018-02-01,신도림,65470.0,64455.0,129925.0,3,0,0,2,2018,0
2018-02-02,강남,129526.0,133598.0,263124.0,4,0,0,2,2018,0
2018-02-02,신도림,67873.0,67482.0,135355.0,4,0,0,2,2018,0
2018-02-02,홍대입구,82782.0,95105.0,177887.0,4,0,0,2,2018,0
2018-02-02,잠실,97969.0,92010.0,189979.0,4,0,0,2,2018,0
2018-02-03,잠실,87449.0,81812.0,169261.0,5,1,0,2,2018,0
2018-02-03,신도림,60425.0,61032.0,121457.0,5,1,0,2,2018,0
2018-02-03,홍대입구,93158.0,104744.0,197902.0,5,1,0,2,2018,0
2018-02-03,강남,94467.0,97848.0,192315.0,5,1,0,2,2018,0
2018-02-04,강남,55157.0,53099.0,108256.0,6,1,0,2,2018,0
2018-02-04,신도림,38530.0,38434.0,76964.0,6,1,0,2,2018,0
2018-02-04,잠실,61076.0,55923.0,116999.0,6,1,0,2,2018,0
2018-02-04,홍대입구,68951.0,66144.0,135095.0,6,1,0,2,2018,0
2018-02-05,홍대입구,69840.0,72073.0,141913.0,0,0,0,2,2018,0
2018-02-05,신도림,60480.0,58982.0,119462.0,0,0,0,2,2018,0
2018-02-05,강남,117603.0,115861.0,233464.0,0,0,0,2,2018,0
2018-02-05,잠실,86329.0,81762.0,168091.0,0,0,0,2,2018,0
2018-02-06,강남,121007.0,119053.0,240060.0,1,0,0,2,2018,0
2018-02-06,홍대입구,71273.0,73771.0,145044.0,1,0,0,2,2018,0
2018-02-06,잠실,89842.0,84738.0,174580.0,1,0,0,2,2018,0
2018-02-06,신도림,61222.0,60146.0,121368.0,1,0,0,2,2018,0
2018-02-07,신도림,63139.0,62224.0,125363.0,2,0,0,2,2018,0
2018-02-07,홍대입구,74996.0,79151.0,154147.0,2,0,0,2,2018,0
